OrderNo,Label,Item,Formula,Header
55,Fixed and Non-Current Assets,fixed_and_non_current_assets,,Yes
56,Land and Buildings,land_and_buildings,,
57,Construction in Progress,construction_in_progress,,
58,Capital Work In Progress,capital_work_in_progress,,
59,"Property, Plant and Equipment",property_plant_and_equipment,,
60,Vehicles,vehicles,,
61,Leased Assets,leased_assets,,
62,Other Fixed Assets,other_fixed_assets,,
63,Total Gross Fixed Assets,total_gross_fixed_assets,land_and_buildings + construction_in_progress + capital_work_in_progress + property_plant_and_equipment + vehicles + leased_assets + other_fixed_assets,
64,Accumulated Depreciation and amortisation,accumulated_depreciation_and_amortisation,,
65,Total Net Fixed Assets,total_net_fixed_assets,total_gross_fixed_assets - accumulated_depreciation_and_amortisation,
66,Intangibles - Goodwill,intangibles_goodwill,,
67,Intangibles - Other,intangibles_other,,
68,Accumulated Amortisation - Intangibles,accumulated_amortisation_intangibles,,
69,Total Net Intangible Assets,total_net_intangible_assets,intangibles_goodwill + intangibles_other - accumulated_amortisation_intangibles,
70,Financial Lease Receivables,financial_lease_receivables,,
71,Notes Receivable,notes_receivable,,
72,Long Term Trade Debtors,long_term_trade_debtors,,
73,Long Term Other Debtors,long_term_other_debtors,,
74,Long Term Prepayments,long_term_prepayments,,
75,Long Term Tax Recoverable,long_term_tax_recoverable,,
76,Deferred Tax Asset,deferred_tax_asset,,
77,Available For Sale Investments,available_for_sale_investments,,
78,Investment in Group and Related Cos,investment_in_group_and_related_cos,,
79,Investment in a joint venture,investment_in_a_joint_venture,,
80,Investment in associates,investment_in_associates,,
81,Investment in subsidiaries,investment_in_subsidiaries,,
82,Loans to Group and Related Cos greater than 1 year,loans_to_group_and_related_cos_greater_than_1_year,,
83,Other financial Assets at FVOCI / FVTPL / Amortised Cost,other_financial_assets_at_fvoci_fvtpl_amortised_cost,,
84,Long term deposits,long_term_deposits,,
85,Other Operating Non-Current Assets,other_operating_non_current_assets,,
86,Other Non-current assets,other_non_current_assets,,
87,Other Non-Operating Non-Current Assets,other_non_operating_non_current_assets,,
88,Deferred charges,deferred_charges,,
89,Total Non-Current Assets,total_non_current_assets,total_net_fixed_assets + total_net_intangible_assets + financial_lease_receivables + notes_receivable + long_term_trade_debtors + long_term_other_debtors + long_term_prepayments + long_term_tax_recoverable + deferred_tax_asset + available_for_sale_investments + investment_in_group_and_related_cos + investment_in_a_joint_venture + investment_in_associates + investment_in_subsidiaries + loans_to_group_and_related_cos_greater_than_1_year + other_financial_assets_at_fvoci_fvtpl_amortised_cost + long_term_deposits + other_operating_non_current_assets + other_non_current_assets + other_non_operating_non_current_assets + deferred_charges,
90,Current Assets,current_assets,,Yes
91,Cash And Bank Balance,cash_and_bank_balance,,
92,Marketable Investments,marketable_investments,,
93,Due to Goverment,due_to_goverment,,
94,Trade Debtors,trade_debtors,,
95,Financial Lease Receivables,financial_lease_receivables_2,,
96,Notes Receivable,notes_receivable_2,,
97,Provision for Doubtful Debtors (-),provision_for_doubtful_debtors,,
98,Liquid Assets,liquid_assets,cash_and_bank_balance + marketable_investments + due_to_goverment,
99,Goods in Transit,goods_in_transit,,
