OrderNo,Label,Item,Formula,Header,,,,,,,,,,
44, ASSETS ,assets,,Yes,,,,,,,,,,
45, 1.1CURRENT ASSETS ,1_1current_assets,,Yes,,,,,,,,,,
46, I. Inventories ,i_inventories,,,,,,,,,,,,
47, Raw Materials ,raw_materials,,,161,288,319,444,493,,,,,
48, Stock in process ,stock_in_process,,,12,13,15,26,28,,,,,
49, Finished Goods ,finished_goods,,,177,321,311,517,572,,,,,
50, Consumable Spares ,consumable_spares,,,10,54,97,117,126,,,,,
51, TOTAL INVENTORIES ,total_inventories,i_inventories +raw_materials +stock_in_process+finished_goods+consumable_spares,,360,677,741,1104,1219, -   , -   , -   , -   , -   
52, II. Trade Debtors  ,ii_trade_debtors,,,,,,,,,,,,
53, Domestic Debtors over six months ,domestic_debtors_over_six_months,,,,,,,,,,,,
54, Domestic Debtors less than six months ,domestic_debtors_less_than_six_months,,,217,444,576,827,951,,,,,
55, Export Debtors over six months ,export_debtors_over_six_months,,,,,,,,,,,,
56, Export Debtors less than six months ,export_debtors_less_than_six_months,,,,,,,,,,,,
57, TOTAL DEBTORS ,total_debtors,domestic_debtors_over_six_months + domestic_debtors_less_than_six_months + export_debtors_over_six_months + export_debtors_less_than_six_months,,217,444,576,827,951, -   , -   , -   , -   , -   
58, III. Other Current Assets ,iii_other_current_assets,,Yes,,,,,,,,,,
59, Cash and Bank Balance ,cash_and_bank_balance,,,36,79,120,113,116,,,,,
60, Prepaid Expenses ,prepaid_expenses,,,,,,,,,,,,
61, Advance Tax ,advance_tax,,,16,16,24,32,48,,,,,
62, Deposits with Excise and Sales Tax ,deposits_with_excise_and_sales_tax,,,20,14,36,53,62,,,,,
63, Loans and Advances ,loans_and_advances,,,98,133,207,255,290,,,,,
64, Others ,others,,,12,25,25,33,37,,,,,
65, Total Other Current Assets ,total_other_current_assets,cash_and_bank_balance + prepaid_expenses + advance_tax + deposits_with_excise_and_sales_tax + loans_and_advances + others ,,181,268,413,485,553, -   , -   , -   , -   , -   
66, Total Current Assets(a)  ,total_current_assets_a,total_other_current_assets+ total_inventories + total_debtors,,758,1389,1730,2416,2724, -   , -   , -   , -   , -   
67, 1.2 FIXED ASSETS ,1_2_fixed_assets,,Yes,,,,,,,,,,
68, I.   Land & Buildings ,i_land_buildings,,,140,239,272,275,275,,,,,
69, II.   Plant & Machinery ,ii_plant_machinery,,,295,669,694,706,727,,,,,
70, III.  Sundries ,iii_sundries,,,62,170,188,192,201,,,,,
71, Gross Fixed Assets ,gross_fixed_assets,i_land_buildings + ii_plant_machinery + iii_sundries ,,496,1077,1154,1173,1203, -   , -   , -   , -   , -   
72, Less: Depreciation to date ,less_depreciation_to_date,,,147,272,398,504,596,,,,,
73, Net Fixed Assets  ,net_fixed_assets,gross_fixed_assets - less_depreciation_to_date ,,350,805,756,670,607, -   , -   , -   , -   , -   
74, Capital Work in Progress ,capital_work_in_progress,,,3,16,12,10,10,,,,,
75, Total Fixed Assets(b) ,total_fixed_assets_b,net_fixed_assets + capital_work_in_progress ,,352,821,768,680,617, -   , -   , -   , -   , -   
76, 1.3 NON-CURRENT ASSETS ,1_3_non_current_assets,,Yes,,,,,,,,,,
77, I.    Investments in/Loans to subsidiaries/ ,i_investments_in_loans_to_subsidiaries,,,0,296,319,319,379,,,,,
78, II.   Others Non Current Assets ,ii_others_non_current_assets,,Yes,,,,,,,,,,
79, Investment in other companies ,investment_in_other_companies,,,22,26,45,11,11,,,,,
80, Loans and Advances ,loans_and_advances_nc,,,,,,,,,,,,
81, Overdue debtors ,overdue_debtors,,,20,24,34,36,36,,,,,
82," Deposits with EB,etc. ",deposits_with_eb_etc,,,,,,,,,,,,
83, Non-Moving Inventories ,non_moving_inventories,,,,,,,,,,,,
84, Others ,others_2,,,,,,,,,,,,
85, Total Other Non Current Assets( c) ,total_other_non_current_assets_c,investment_in_other_companies + loans_and_advances_nc + overdue_debtors + deposits_with_eb_etc + non_moving_inventories + others_2 + i_investments_in_loans_to_subsidiaries ,,42,346,398,366,426, -   , -   , -   , -   , -   
86, Deferred Tax Asset (d) ,deferred_tax_asset_d,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
87, 1.4 INTANGIBLE ASSETS/MISC EXPENDITURE (e) ,intangible_assets_misc_expenditure_e,,,1,1,2,1,1, -   , -   , -   , -   , -   
88, TOTAL ASSETS (a+b+c+d+e) ,total_assets_a_b_c_d_e,total_current_assets_a + total_fixed_assets_b + total_other_non_current_assets_c + deferred_tax_asset_d + intangible_assets_misc_expenditure_e,,1153,2557,2898,3463,3767, -   , -   , -   , -   , -   
89, 2. LIABILITIES ,2_liabilities,,Yes,,,,,,,,,,
90, CURRENT LIABILITIES ,current_liabilities,,Yes,,,,,,,,,,
